price,host_response_rate,host_listings_count,neighbourhood,property_type,room_type,bathrooms,accommodates,guests_included,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_30
222,100%,1,Ipanema,Apartment,Entire home/apt,1,2,2,3,85,0.92,95,0
161,100%,3,Copacabana,Apartment,Entire home/apt,1,3,2,4,208,2.17,94,28
222,100%,1,Ipanema,Apartment,Entire home/apt,1,3,2,2,200,2.12,96,15
308,100%,1,Ipanema,Apartment,Entire home/apt,1.5,3,2,2,116,2.13,94,6
106,100%,1,Copacabana,Apartment,Private room,1,1,1,3,12,2.2,97,0
154,90%,51,Copacabana,Apartment,Entire home/apt,1,3,2,3,63,0.96,93,4
844,94%,6,Ipanema,Apartment,Entire home/apt,4,8,4,2,50,0.61,89,14
301,100%,1,Barra da Tijuca,Serviced apartment,Entire home/apt,1.5,4,4,4,8,0.93,100,28
143,100%,2,Copacabana,Apartment,Entire home/apt,1,2,2,3,97,1.4,93,29
400,N/A,1,Ipanema,Apartment,Entire home/apt,3,4,1,1,12,0.14,96,30
151,96%,3,Copacabana,Apartment,Entire home/apt,1,2,2,3,116,1.35,97,12
99,N/A,1,Copacabana,Apartment,Private room,1,2,1,1,79,0.9,93,30
308,100%,6,Ipanema,Serviced apartment,Entire home/apt,1,5,2,1,236,3.09,95,26
256,100%,1,Ipanema,Apartment,Entire home/apt,1,2,2,2,12,0.19,97,5
106,100%,1,Copacabana,Apartment,Entire home/apt,1,4,2,3,129,1.49,87,25
109,100%,9,Copacabana,Apartment,Entire home/apt,1,4,2,4,5,0.11,88,1
305,100%,1,Copacabana,Apartment,Entire home/apt,1,4,4,5,83,0.96,96,4
379,100%,1,Copacabana,Apartment,Entire home/apt,4,12,6,2,101,1.24,86,16
201,N/A,1,Copacabana,Apartment,Private room,1.5,2,1,2,5,0.06,80,30
280,100%,4,Copacabana,Apartment,Entire home/apt,2,5,1,3,20,0.3,93,29
161,100%,7,Copacabana,Apartment,Entire home/apt,1,4,3,2,40,0.51,92,18
181,100%,7,Copacabana,Apartment,Entire home/apt,1,3,2,2,24,0.38,91,14
250,100%,7,Copacabana,Apartment,Entire home/apt,1,4,3,2,23,0.36,94,24
154,100%,2,Ipanema,Apartment,Private room,1,2,1,3,155,2.03,98,29
379,100%,4,Barra da Tijuca,Apartment,Entire home/apt,1,4,4,3,14,0.23,99,29
181,100%,9,Barra da Tijuca,Apartment,Entire home/apt,1,4,2,2,52,0.74,88,27
751,33%,2,Copacabana,Apartment,Entire home/apt,2,10,6,3,5,0.12,80,30
154,89%,2,Barra da Tijuca,Apartment,Private room,1,2,1,2,7,0.09,100,30
161,80%,1,Copacabana,Apartment,Entire home/apt,1,4,2,3,95,1.13,92,14
239,100%,3,Copacabana,Apartment,Entire home/apt,1,3,2,2,25,0.31,85,0
291,100%,1,Copacabana,Apartment,Entire home/apt,1,2,1,2,73,0.88,100,26
376,80%,2,Copacabana,Apartment,Entire home/apt,2,4,2,2,9,0.14,96,28
410,100%,3,Ipanema,Apartment,Entire home/apt,NA,4,3,6,28,0.34,88,29
133,100%,1,Copacabana,Apartment,Private room,2,3,1,2,60,0.73,89,30
236,100%,3,Copacabana,Apartment,Entire home/apt,1.5,3,2,10,45,0.69,96,28
116,100%,10,Copacabana,Apartment,Entire home/apt,1,3,2,2,58,0.72,91,29
150,N/A,1,Copacabana,Apartment,Private room,1,3,2,5,10,0.22,91,28
134,100%,10,Ipanema,Apartment,Entire home/apt,1,5,2,2,39,0.58,94,28
120,100%,10,Copacabana,Apartment,Entire home/apt,1,3,2,2,51,0.64,94,29
113,100%,10,Copacabana,Apartment,Entire home/apt,1,4,2,2,81,1.02,92,25
99,100%,10,Copacabana,Apartment,Entire home/apt,1,3,2,2,61,0.75,88,27
99,100%,3,Copacabana,Apartment,Entire home/apt,1,2,1,3,40,0.52,94,30
393,100%,2,Copacabana,Apartment,Entire home/apt,1.5,5,4,3,149,1.84,99,12
632,100%,1,Copacabana,Apartment,Entire home/apt,2,8,6,1,123,1.55,97,30
376,N/A,1,Barra da Tijuca,Apartment,Entire home/apt,2.5,5,5,3,45,0.56,100,29
161,100%,4,Copacabana,Apartment,Private room,1,3,1,3,86,1.05,96,30
167,100%,4,Copacabana,Serviced apartment,Entire home/apt,1,2,1,3,70,0.86,96,29
680,100%,2,Copacabana,Apartment,Entire home/apt,2,6,4,5,47,0.59,100,30
130,100%,4,Copacabana,Apartment,Private room,1,2,1,1,64,0.8,97,29
342,N/A,4,Ipanema,Apartment,Entire home/apt,1,7,6,3,6,0.08,84,0
348,100%,2,Copacabana,Apartment,Entire home/apt,1,5,5,2,25,0.32,90,21
236,82%,54,Ipanema,Apartment,Entire home/apt,1.5,5,3,3,121,1.51,91,18
82,100%,3,Ipanema,Apartment,Private room,2,2,1,1,123,1.91,95,27
844,100%,4,Ipanema,Apartment,Entire home/apt,2,6,1,4,13,0.16,82,29
201,100%,1,Copacabana,Apartment,Entire home/apt,1,5,2,2,70,0.87,95,0
208,100%,3,Copacabana,Apartment,Entire home/apt,1,2,2,1,170,2.12,96,19
632,100%,1,Ipanema,Apartment,Entire home/apt,3,6,2,3,34,0.47,86,20
89,100%,5,Copacabana,Apartment,Entire home/apt,NA,2,1,2,75,0.96,89,20
150,100%,3,Barra da Tijuca,Serviced apartment,Entire home/apt,1,2,2,2,18,0.32,94,30
120,100%,5,Copacabana,Apartment,Entire home/apt,NA,4,2,2,40,0.51,94,7
348,100%,5,Copacabana,Apartment,Entire home/apt,NA,4,2,2,31,0.39,94,30
130,100%,5,Copacabana,Apartment,Entire home/apt,1,3,2,3,95,1.26,94,22
181,100%,1,Copacabana,Apartment,Entire home/apt,1,4,3,7,13,0.26,93,29
126,100%,10,Copacabana,Apartment,Entire home/apt,1,4,2,2,64,0.83,92,29
120,100%,1,Copacabana,Apartment,Private room,1,2,1,2,12,0.24,100,28
126,100%,5,Copacabana,Apartment,Entire home/apt,1,4,2,2,22,0.29,88,30
229,N/A,1,Copacabana,Apartment,Entire home/apt,1,4,1,3,10,0.13,96,30
181,100%,1,Ipanema,Apartment,Entire home/apt,1,3,2,2,94,1.23,93,14
348,100%,1,Copacabana,Apartment,Entire home/apt,1.5,4,4,2,90,1.14,97,0
427,100%,1,Copacabana,Apartment,Entire home/apt,2.5,4,1,1,72,0.92,95,23
195,100%,2,Barra da Tijuca,Apartment,Entire home/apt,1,3,3,3,131,1.71,94,14
89,100%,3,Copacabana,Apartment,Private room,1,2,1,2,99,1.33,96,25
178,90%,2,Copacabana,Apartment,Entire home/apt,1,4,2,3,77,0.99,97,3
167,100%,2,Barra da Tijuca,Apartment,Entire home/apt,1.5,2,2,28,20,0.28,99,16
143,100%,1,Copacabana,Apartment,Entire home/apt,1,4,2,2,122,1.58,99,12
342,100%,1,Ipanema,Apartment,Entire home/apt,2,4,4,2,84,1.11,88,28
256,100%,2,Ipanema,Apartment,Private room,2,2,1,3,10,0.15,87,29
157,N/A,1,Ipanema,Apartment,Private room,2,3,1,3,5,0.19,76,30
171,100%,11,Copacabana,Apartment,Entire home/apt,1,2,1,3,13,0.17,98,29
191,100%,11,Copacabana,Apartment,Entire home/apt,1,4,2,5,20,0.26,96,27
154,100%,2,Copacabana,Apartment,Entire home/apt,1,4,2,1,44,0.58,90,30
181,100%,41,Copacabana,Apartment,Entire home/apt,1,4,2,2,97,1.27,93,30
229,100%,31,Copacabana,Apartment,Private room,0,4,4,1,22,0.29,89,30
79,100%,31,Copacabana,Apartment,Entire home/apt,1,2,2,1,72,0.98,93,22
150,100%,31,Copacabana,Apartment,Private room,NA,3,3,1,14,0.18,97,30
161,100%,5,Copacabana,Apartment,Entire home/apt,1,4,2,3,69,0.9,89,0
256,100%,3,Ipanema,Apartment,Entire home/apt,1,4,2,2,137,1.79,95,15
171,100%,11,Copacabana,Apartment,Entire home/apt,1,4,2,3,21,0.28,100,29
342,N/A,2,Copacabana,Apartment,Entire home/apt,1,4,2,4,16,0.21,93,29
150,100%,3,Copacabana,Apartment,Private room,1,3,2,2,42,0.56,99,0
266,80%,1,Copacabana,Apartment,Entire home/apt,2,4,4,3,119,1.56,97,17
256,100%,1,Barra da Tijuca,Apartment,Entire home/apt,2,4,2,5,13,0.19,95,30
512,0%,2,Ipanema,Apartment,Entire home/apt,1,2,2,5,26,0.34,94,30
